isolate:354918,,,
temperature,group,mortality,se
5,spores,0,0
5,control,0,0
10,spores,0,0
10,control,0,0
15,spores,0,0
15,control,0,0
20,spores,0.933,0.06
20,control,0.03,0.02
25,spores,0.7,0.03
25,control,0.6,0.02
30,spores,0.5,0.05
30,control,0.33,0.08
35,spores,0.67,0.07
35,control,0.6,0.06
40,spores,1,0.01
40,control,1,0.01
