386606,,,387294,,,386696,,,232818,,,386608,,
x1,x2,y,x1,x2,y,x1,x2,y,x1,x2,y,x1,x2,y
5.22,15℃,0,5.22,15℃,0,5.22,15℃,0,5.22,15℃,0,5.22,15℃,0
5.22,20℃,0,5.22,20℃,0,5.22,20℃,0,5.22,20℃,0,5.22,20℃,0
5.22,25℃,0,5.22,25℃,0,5.22,25℃,0,5.22,25℃,0,5.22,25℃,0
5.22,30℃,0,5.22,30℃,0,5.22,30℃,0,5.22,30℃,0,5.22,30℃,0
5.22,35℃,0,5.22,35℃,0,5.22,35℃,0,5.22,35℃,0,5.22,35℃,0
5.22,40℃,0,5.22,40℃,0,5.22,40℃,0,5.22,40℃,0,5.22,40℃,0
5.23,5℃,7.8,5.23,5℃,7.56,5.23,5℃,10.4,5.23,5℃,7.3,5.23,5℃,6.9
5.23,10℃,15.7,5.23,10℃,9.6,5.23,10℃,14,5.23,10℃,13.8,5.23,10℃,13.4
5.23,15℃,19.2,5.23,15℃,15.8,5.23,15℃,20.1,5.23,15℃,20.4,5.23,15℃,20
5.23,20℃,27.6,5.23,20℃,27.7,5.23,20℃,27.6,5.23,20℃,32.78,5.23,20℃,26.9
5.23,25℃,51.8,5.23,25℃,29.9,5.23,25℃,39.9,5.23,25℃,57.5,5.23,25℃,47.2
5.23,30℃,38.7,5.23,30℃,27.1,5.23,30℃,32.8,5.23,30℃,26.3,5.23,30℃,39.5
5.23,35℃,12.4,5.23,35℃,0,5.23,35℃,0,5.23,35℃,0,5.23,35℃,12.2
5.23,40℃,0,5.23,40℃,0,5.23,40℃,0,5.23,40℃,0,5.23,40℃,0
5.24,5℃,8.5,5.24,5℃,7.6,5.24,5℃,10.8,5.24,5℃,7.9,5.24,5℃,7
5.24,10℃,17.1,5.24,10℃,11.2,5.24,10℃,15.5,5.24,10℃,15.4,5.24,10℃,14.5
5.24,15℃,21.4,5.24,15℃,17.6,5.24,15℃,21.6,5.24,15℃,22.4,5.24,15℃,22.1
5.24,20℃,30.6,5.24,20℃,30.4,5.24,20℃,29.5,5.24,20℃,34.67,5.24,20℃,29
5.24,25℃,56.7,5.24,25℃,32.7,5.24,25℃,42.7,5.24,25℃,62.33,5.24,25℃,50
5.24,30℃,40.5,5.24,30℃,28.1,5.24,30℃,34.8,5.24,30℃,28.5,5.24,30℃,42.6
5.24,35℃,12.3,5.24,35℃,0,5.24,35℃,0,5.24,35℃,0,5.24,35℃,12.5
5.24,40℃,0,5.24,40℃,0,5.24,40℃,0,5.24,40℃,0,5.24,40℃,0
5.25,5℃,9.2,5.25,5℃,8.2,5.25,5℃,10.6,5.25,5℃,7.8,5.25,5℃,7.2
